FIPS	County	Year	Deaths	Population
4013	Maricopa County, AZ	2003	368	3328468
4013	Maricopa County, AZ	2004	417	3417860
4013	Maricopa County, AZ	2005	464	3538988
4013	Maricopa County, AZ	2006	538	3642884
4013	Maricopa County, AZ	2007	574	3711954
4013	Maricopa County, AZ	2008	526	3771061
4013	Maricopa County, AZ	2009	566	3803779
4013	Maricopa County, AZ	2010	609	3825183
4013	Maricopa County, AZ	2011	627	3875371
4013	Maricopa County, AZ	2012	630	3948165
4013	Maricopa County, AZ	2013	705	4018657
4013	Maricopa County, AZ	2014	695	4094842
4013	Maricopa County, AZ	2015	706	4174423
4019	Pima County, AZ	2003	159	885893
4019	Pima County, AZ	2004	155	901342
4019	Pima County, AZ	2005	173	920298
4019	Pima County, AZ	2006	190	940930
4019	Pima County, AZ	2007	156	955869
4019	Pima County, AZ	2008	116	967778
4019	Pima County, AZ	2009	173	975580
4019	Pima County, AZ	2010	204	981649
4019	Pima County, AZ	2011	184	988500
4019	Pima County, AZ	2012	213	993231
4019	Pima County, AZ	2013	209	997374
4019	Pima County, AZ	2014	222	1004521
4019	Pima County, AZ	2015	224	1009490
6001	Alameda County, CA	2003	107	1454163
6001	Alameda County, CA	2004	132	1445721
6001	Alameda County, CA	2005	160	1441545
6001	Alameda County, CA	2006	163	1444484
6001	Alameda County, CA	2007	185	1455715
6001	Alameda County, CA	2008	157	1477208
6001	Alameda County, CA	2009	143	1498539
6001	Alameda County, CA	2010	131	1512997
6001	Alameda County, CA	2011	167	1530893
6001	Alameda County, CA	2012	133	1553729
6001	Alameda County, CA	2013	174	1579508
6001	Alameda County, CA	2014	165	1607638
6001	Alameda County, CA	2015	198	1634326
6013	Contra Costa County, CA	2003	64	987531
6013	Contra Costa County, CA	2004	92	992424
6013	Contra Costa County, CA	2005	103	999013
6013	Contra Costa County, CA	2006	74	1000834
6013	Contra Costa County, CA	2007	100	1009152
6013	Contra Costa County, CA	2008	111	1023344
6013	Contra Costa County, CA	2009	93	1037890
6013	Contra Costa County, CA	2010	91	1052516
6013	Contra Costa County, CA	2011	122	1065361
6013	Contra Costa County, CA	2012	122	1077439
6013	Contra Costa County, CA	2013	140	1093253
6013	Contra Costa County, CA	2014	126	1108665
6013	Contra Costa County, CA	2015	107	1124148
6037	Los Angeles County, CA	2003	730	9767145
6037	Los Angeles County, CA	2004	665	9793263
6037	Los Angeles County, CA	2005	639	9786373
6037	Los Angeles County, CA	2006	687	9737955
6037	Los Angeles County, CA	2007	752	9700359
6037	Los Angeles County, CA	2008	706	9735147
6037	Los Angeles County, CA	2009	765	9787400
6037	Los Angeles County, CA	2010	697	9821647
6037	Los Angeles County, CA	2011	684	9873700
6037	Los Angeles County, CA	2012	677	9931394
6037	Los Angeles County, CA	2013	815	9987189
6037	Los Angeles County, CA	2014	733	10033449
6037	Los Angeles County, CA	2015	730	10077263
6059	Orange County, CA	2003	218	2929376
6059	Orange County, CA	2004	242	2941711
6059	Orange County, CA	2005	239	2940055
6059	Orange County, CA	2006	239	2932261
6059	Orange County, CA	2007	287	2931629
6059	Orange County, CA	2008	324	2957593
6059	Orange County, CA	2009	336	2987177
6059	Orange County, CA	2010	313	3016376
6059	Orange County, CA	2011	319	3050199
6059	Orange County, CA	2012	320	3078710
6059	Orange County, CA	2013	358	3105262
6059	Orange County, CA	2014	363	3126523
6059	Orange County, CA	2015	381	3148952
6065	Riverside County, CA	2003	150	1771656
6065	Riverside County, CA	2004	165	1856542
6065	Riverside County, CA	2005	167	1931785
6065	Riverside County, CA	2006	174	2012370
6065	Riverside County, CA	2007	214	2075183
6065	Riverside County, CA	2008	215	2109712
6065	Riverside County, CA	2009	237	2146725
6065	Riverside County, CA	2010	250	2201562
6065	Riverside County, CA	2011	252	2233840
6065	Riverside County, CA	2012	282	2260763
6065	Riverside County, CA	2013	315	2286087
6065	Riverside County, CA	2014	325	2315238
6065	Riverside County, CA	2015	333	2344648
6067	Sacramento County, CA	2003	148	1328531
6067	Sacramento County, CA	2004	178	1348932
6067	Sacramento County, CA	2005	225	1360816
6067	Sacramento County, CA	2006	226	1369563
6067	Sacramento County, CA	2007	212	1381161
6067	Sacramento County, CA	2008	260	1394438
6067	Sacramento County, CA	2009	246	1408601
6067	Sacramento County, CA	2010	216	1421381
6067	Sacramento County, CA	2011	213	1433712
6067	Sacramento County, CA	2012	205	1444819
6067	Sacramento County, CA	2013	242	1457283
6067	Sacramento County, CA	2014	249	1474828
6067	Sacramento County, CA	2015	283	1493547
6071	San Bernardino County, CA	2003	64	1846115
6071	San Bernardino County, CA	2004	75	1899065
6071	San Bernardino County, CA	2005	90	1943924
6071	San Bernardino County, CA	2006	97	1974140
6071	San Bernardino County, CA	2007	63	1992161
6071	San Bernardino County, CA	2008	106	2003735
6071	San Bernardino County, CA	2009	134	2013960
6071	San Bernardino County, CA	2010	133	2040803
6071	San Bernardino County, CA	2011	109	2060596
6071	San Bernardino County, CA	2012	119	2073088
6071	San Bernardino County, CA	2013	125	2082101
6071	San Bernardino County, CA	2014	118	2098346
6071	San Bernardino County, CA	2015	97	2114352
6073	San Diego County, CA	2003	287	2914702
6073	San Diego County, CA	2004	286	2930007
6073	San Diego County, CA	2005	276	2938375
6073	San Diego County, CA	2006	303	2947289
6073	San Diego County, CA	2007	351	2975742
6073	San Diego County, CA	2008	353	3022116
6073	San Diego County, CA	2009	367	3061203
6073	San Diego County, CA	2010	364	3103260
6073	San Diego County, CA	2011	408	3137236
6073	San Diego County, CA	2012	424	3175148
6073	San Diego County, CA	2013	424	3210788
6073	San Diego County, CA	2014	414	3249307
6073	San Diego County, CA	2015	413	3280825
6085	Santa Clara County, CA	2003	78	1663592
6085	Santa Clara County, CA	2004	110	1663167
6085	Santa Clara County, CA	2005	87	1675312
6085	Santa Clara County, CA	2006	90	1691159
6085	Santa Clara County, CA	2007	141	1712026
6085	Santa Clara County, CA	2008	113	1740964
6085	Santa Clara County, CA	2009	108	1765137
6085	Santa Clara County, CA	2010	133	1786001
6085	Santa Clara County, CA	2011	136	1811891
6085	Santa Clara County, CA	2012	142	1837605
6085	Santa Clara County, CA	2013	152	1866050
6085	Santa Clara County, CA	2014	125	1891286
6085	Santa Clara County, CA	2015	132	1915736
12011	Broward County, FL	2003	230	1707543
12011	Broward County, FL	2004	272	1725461
12011	Broward County, FL	2005	277	1746896
12011	Broward County, FL	2006	258	1739348
12011	Broward County, FL	2007	262	1720825
12011	Broward County, FL	2008	313	1723633
12011	Broward County, FL	2009	305	1733310
12011	Broward County, FL	2010	262	1752843
12011	Broward County, FL	2011	233	1787096
12011	Broward County, FL	2012	228	1814468
12011	Broward County, FL	2013	199	1836869
12011	Broward County, FL	2014	220	1861259
12011	Broward County, FL	2015	279	1885435
12057	Hillsborough County, FL	2003	126	1077462
12057	Hillsborough County, FL	2004	146	1108225
12057	Hillsborough County, FL	2005	162	1143154
12057	Hillsborough County, FL	2006	185	1171826
12057	Hillsborough County, FL	2007	257	1184686
12057	Hillsborough County, FL	2008	244	1196773
12057	Hillsborough County, FL	2009	270	1214050
12057	Hillsborough County, FL	2010	259	1233511
12057	Hillsborough County, FL	2011	242	1255639
12057	Hillsborough County, FL	2012	185	1279861
12057	Hillsborough County, FL	2013	163	1304474
12057	Hillsborough County, FL	2014	163	1332742
12057	Hillsborough County, FL	2015	176	1364645
12086	Miami-Dade County, FL	2003	94	2336070
12086	Miami-Dade County, FL	2004	123	2358684
12086	Miami-Dade County, FL	2005	124	2385872
12086	Miami-Dade County, FL	2006	142	2405911
12086	Miami-Dade County, FL	2007	149	2415576
12086	Miami-Dade County, FL	2008	149	2436062
12086	Miami-Dade County, FL	2009	155	2463943
12086	Miami-Dade County, FL	2010	98	2506986
12086	Miami-Dade County, FL	2011	122	2544511
12086	Miami-Dade County, FL	2012	135	2576473
12086	Miami-Dade County, FL	2013	110	2609570
12086	Miami-Dade County, FL	2014	139	2634056
12086	Miami-Dade County, FL	2015	202	2659549
12095	Orange County, FL	2003	83	979227
12095	Orange County, FL	2004	97	1011681
12095	Orange County, FL	2005	90	1053341
12095	Orange County, FL	2006	108	1083429
12095	Orange County, FL	2007	110	1100663
12095	Orange County, FL	2008	120	1115525
12095	Orange County, FL	2009	120	1131351
12095	Orange County, FL	2010	149	1148590
12095	Orange County, FL	2011	148	1170699
12095	Orange County, FL	2012	131	1202716
12095	Orange County, FL	2013	122	1227761
12095	Orange County, FL	2014	177	1257031
12095	Orange County, FL	2015	195	1291844
12099	Palm Beach County, FL	2003	199	1218100
12099	Palm Beach County, FL	2004	196	1252223
12099	Palm Beach County, FL	2005	229	1278380
12099	Palm Beach County, FL	2006	211	1284489
12099	Palm Beach County, FL	2007	262	1286586
12099	Palm Beach County, FL	2008	271	1294938
12099	Palm Beach County, FL	2009	276	1307371
12099	Palm Beach County, FL	2010	230	1323631
12099	Palm Beach County, FL	2011	203	1336875
12099	Palm Beach County, FL	2012	185	1355149
12099	Palm Beach County, FL	2013	233	1376782
12099	Palm Beach County, FL	2014	236	1399064
12099	Palm Beach County, FL	2015	317	1424772
13121	Fulton County, GA	2003	62	812568
