STNAME,CTYNAME,FIPS,Year,Population
Alabama,Autauga County,1001,2000,44021
Alabama,Baldwin County,1003,2000,141342
Alabama,Barbour County,1005,2000,29015
Alabama,Bibb County,1007,2000,19913
Alabama,Blount County,1009,2000,51107
Alabama,Bullock County,1011,2000,11581
Alabama,Butler County,1013,2000,21325
Alabama,Calhoun County,1015,2000,111081
Alabama,Chambers County,1017,2000,36571
Alabama,Cherokee County,1019,2000,24006
Alabama,Chilton County,1021,2000,39897
Alabama,Choctaw County,1023,2000,15875
Alabama,Clarke County,1025,2000,27819
Alabama,Clay County,1027,2000,14263
Alabama,Cleburne County,1029,2000,14172
Alabama,Coffee County,1031,2000,43580
Alabama,Colbert County,1033,2000,54997
Alabama,Conecuh County,1035,2000,14035
Alabama,Coosa County,1037,2000,11844
Alabama,Covington County,1039,2000,37514
Alabama,Crenshaw County,1041,2000,13692
Alabama,Cullman County,1043,2000,77473
Alabama,Dale County,1045,2000,49124
Alabama,Dallas County,1047,2000,46198
Alabama,DeKalb County,1049,2000,64650
Alabama,Elmore County,1051,2000,66160
Alabama,Escambia County,1053,2000,38325
Alabama,Etowah County,1055,2000,103286
Alabama,Fayette County,1057,2000,18512
Alabama,Franklin County,1059,2000,31242
Alabama,Geneva County,1061,2000,25740
Alabama,Greene County,1063,2000,9902
Alabama,Hale County,1065,2000,18194
Alabama,Henry County,1067,2000,16341
Alabama,Houston County,1069,2000,88943
Alabama,Jackson County,1071,2000,53979
Alabama,Jefferson County,1073,2000,662033
Alabama,Lamar County,1075,2000,15923
Alabama,Lauderdale County,1077,2000,88039
Alabama,Lawrence County,1079,2000,34874
Alabama,Lee County,1081,2000,115430
Alabama,Limestone County,1083,2000,65966
Alabama,Lowndes County,1085,2000,13471
Alabama,Macon County,1087,2000,24047
Alabama,Madison County,1089,2000,278006
Alabama,Marengo County,1091,2000,22564
Alabama,Marion County,1093,2000,31137
Alabama,Marshall County,1095,2000,82429
Alabama,Mobile County,1097,2000,400073
Alabama,Monroe County,1099,2000,24319
Alabama,Montgomery County,1101,2000,223428
Alabama,Morgan County,1103,2000,111221
Alabama,Perry County,1105,2000,11809
Alabama,Pickens County,1107,2000,20881
Alabama,Pike County,1109,2000,29748
Alabama,Randolph County,1111,2000,22377
Alabama,Russell County,1113,2000,49805
Alabama,St. Clair County,1115,2000,65080
Alabama,Shelby County,1117,2000,144674
Alabama,Sumter County,1119,2000,14746
Alabama,Talladega County,1121,2000,80772
Alabama,Tallapoosa County,1123,2000,41689
Alabama,Tuscaloosa County,1125,2000,165414
Alabama,Walker County,1127,2000,70602
Alabama,Washington County,1129,2000,18101
Alabama,Wilcox County,1131,2000,12939
Alabama,Winston County,1133,2000,24857
Arizona,Apache County,4001,2000,69507
Arizona,Cochise County,4003,2000,118132
Arizona,Coconino County,4005,2000,116773
Arizona,Gila County,4007,2000,51332
Arizona,Graham County,4009,2000,33511
Arizona,Greenlee County,4011,2000,8547
Arizona,La Paz County,4012,2000,19611
Arizona,Maricopa County,4013,2000,3092197
Arizona,Mohave County,4015,2000,156215
Arizona,Navajo County,4017,2000,97689
Arizona,Pima County,4019,2000,848019
Arizona,Pinal County,4021,2000,181280
Arizona,Santa Cruz County,4023,2000,38589
Arizona,Yavapai County,4025,2000,168608
Arizona,Yuma County,4027,2000,160576
Arkansas,Arkansas County,5001,2000,20776
Arkansas,Ashley County,5003,2000,24179
Arkansas,Baxter County,5005,2000,38446
Arkansas,Benton County,5007,2000,154744
Arkansas,Boone County,5009,2000,34051
Arkansas,Bradley County,5011,2000,12597
Arkansas,Calhoun County,5013,2000,5709
Arkansas,Carroll County,5015,2000,25369
Arkansas,Chicot County,5017,2000,14062
Arkansas,Clark County,5019,2000,23474
Arkansas,Clay County,5021,2000,17537
Arkansas,Cleburne County,5023,2000,24100
Arkansas,Cleveland County,5025,2000,8536
Arkansas,Columbia County,5027,2000,25599
Arkansas,Conway County,5029,2000,20312
Arkansas,Craighead County,5031,2000,82519
Arkansas,Crawford County,5033,2000,53404
Arkansas,Crittenden County,5035,2000,50915
Arkansas,Cross County,5037,2000,19458
Arkansas,Dallas County,5039,2000,9146
Arkansas,Desha County,5041,2000,15302
Arkansas,Drew County,5043,2000,18670
Arkansas,Faulkner County,5045,2000,86501
Arkansas,Franklin County,5047,2000,17737
Arkansas,Fulton County,5049,2000,11656
Arkansas,Garland County,5051,2000,88311
Arkansas,Grant County,5053,2000,16476
Arkansas,Greene County,5055,2000,37563
Arkansas,Hempstead County,5057,2000,23620
Arkansas,Hot Spring County,5059,2000,30480
Arkansas,Howard County,5061,2000,14233
Arkansas,Independence County,5063,2000,34333
Arkansas,Izard County,5065,2000,13298
Arkansas,Jackson County,5067,2000,18403
Arkansas,Jefferson County,5069,2000,84171
Arkansas,Johnson County,5071,2000,22813
Arkansas,Lafayette County,5073,2000,8539
Arkansas,Lawrence County,5075,2000,17672
Arkansas,Lee County,5077,2000,12527
Arkansas,Lincoln County,5079,2000,14477
Arkansas,Little River County,5081,2000,13613
Arkansas,Logan County,5083,2000,22500
Arkansas,Lonoke County,5085,2000,53153
Arkansas,Madison County,5087,2000,14272
Arkansas,Marion County,5089,2000,16162
Arkansas,Miller County,5091,2000,40436
Arkansas,Mississippi County,5093,2000,51849
Arkansas,Monroe County,5095,2000,10182
Arkansas,Montgomery County,5097,2000,9263
Arkansas,Nevada County,5099,2000,9895
Arkansas,Newton County,5101,2000,8642
Arkansas,Ouachita County,5103,2000,28677
Arkansas,Perry County,5105,2000,10223
Arkansas,Phillips County,5107,2000,26290
Arkansas,Pike County,5109,2000,11332
Arkansas,Poinsett County,5111,2000,25617
Arkansas,Polk County,5113,2000,20268
Arkansas,Pope County,5115,2000,54541
Arkansas,Prairie County,5117,2000,9491
Arkansas,Pulaski County,5119,2000,361876
Arkansas,Randolph County,5121,2000,18155
Arkansas,St. Francis County,5123,2000,29325
Arkansas,Saline County,5125,2000,84084
Arkansas,Scott County,5127,2000,10980
Arkansas,Searcy County,5129,2000,8246
Arkansas,Sebastian County,5131,2000,115578
Arkansas,Sevier County,5133,2000,15747
Arkansas,Sharp County,5135,2000,17138
Arkansas,Stone County,5137,2000,11519
Arkansas,Union County,5139,2000,45532
Arkansas,Van Buren County,5141,2000,16221
Arkansas,Washington County,5143,2000,158851
Arkansas,White County,5145,2000,67382
Arkansas,Woodruff County,5147,2000,8686
Arkansas,Yell County,5149,2000,21147
California,Alameda County,6001,2000,1449840
California,Alpine County,6003,2000,1209
California,Amador County,6005,2000,35153
California,Butte County,6007,2000,203807
California,Calaveras County,6009,2000,40645
California,Colusa County,6011,2000,18817
California,Contra Costa County,6013,2000,952810
California,Del Norte County,6015,2000,27440
California,El Dorado County,6017,2000,157162
California,Fresno County,6019,2000,801288
California,Glenn County,6021,2000,26416
California,Humboldt County,6023,2000,126462
California,Imperial County,6025,2000,142410
California,Inyo County,6027,2000,17955
California,Kern County,6029,2000,663803
California,Kings County,6031,2000,129835
California,Lake County,6033,2000,58538
California,Lassen County,6035,2000,33719
California,Los Angeles County,6037,2000,9538191
California,Madera County,6039,2000,123587
California,Marin County,6041,2000,247520
California,Mariposa County,6043,2000,17101
California,Mendocino County,6045,2000,86407
California,Merced County,6047,2000,212258
California,Modoc County,6049,2000,9406
California,Mono County,6051,2000,12921
California,Monterey County,6053,2000,402990
California,Napa County,6055,2000,124565
California,Nevada County,6057,2000,92520
California,Orange County,6059,2000,2854513
California,Placer County,6061,2000,251012
California,Plumas County,6063,2000,20754
California,Riverside County,6065,2000,1558985
California,Sacramento County,6067,2000,1229940
California,San Benito County,6069,2000,53781
California,San Bernardino County,6071,2000,1718037
California,San Diego County,6073,2000,2827366
California,San Francisco County,6075,2000,777885
California,San Joaquin County,6077,2000,567885
California,San Luis Obispo County,6079,2000,247839
California,San Mateo County,6081,2000,707820
California,Santa Barbara County,6083,2000,399990
California,Santa Clara County,6085,2000,1684947
California,Santa Cruz County,6087,2000,255835
